 =============== Calibration Condition Section =============== 
RefNum = 1
Radius1 = 00800
Radius2 = 00000

 ================= Calibration Data Section ================== 
WORKINGDISTANCE	=	30000

------------- Distance from center of Placido --------------- 
angle	Ring0	Ring1	Ring2	Ring3	Ring4	Ring5	Ring6	Ring7	Ring8	Ring9	Ring10	Ring11	Ring12	Ring13	Ring14	Ring15	Ring16	Ring17	Ring18	Ring19	Ring20	Ring21	Ring22	Ring23	Ring24	Ring25	Ring26	Ring27	Ring28	Ring29	Ring30	Ring31	Ring32	Ring33	Ring34	Ring35	Ring36	Ring37	Ring38	
   55	      0	   1282	   1549	   1818	   2095	   2373	   2643	   2916	   3193	   3472	   3747	   4022	   4298	   4579	   4860	   5139	   5421	   5703	   6022	   6347	   6628	   6911	   7191	   7470	   7753	   8037	   8315	   8594	   8868	   9143	   9415	   9676	      0	      0	      0	      0	      0	      0	      0	
   56	      0	   1282	   1549	   1818	   2095	   2373	   2643	   2917	   3193	   3472	   3747	   4022	   4298	   4579	   4860	   5140	   5422	   5703	   6023	   6347	   6629	   6911	   7192	   7470	   7753	   8038	   8315	   8595	   8869	   9144	   9416	   9676	      0	      0	      0	      0	      0	      0	      0	
   57	      0	   1282	   1549	   1818	   2095	   2373	   2644	   2917	   3193	   3471	   3747	   4022	   4298	   4579	   4861	   5140	   5422	   5704	   6023	   6347	   6629	   6912	   7192	   7471	   7754	   8038	   8316	   8596	   8869	   9144	   9417	   9677	      0	      0	      0	      0	      0	      0	      0	
   58	      0	   1282	   1549	   1818	   2095	   2373	   2644	   2917	   3194	   3471	   3747	   4022	   4298	   4580	   4861	   5141	   5423	   5704	   6024	   6347	   6630	   6913	   7193	   7471	   7754	   8039	   8317	   8597	   8870	   9145	   9417	   9678	      0	      0	      0	      0	      0	      0	      0	
   59	      0	   1282	   1549	   1818	   2095	   2373	   2644	   2917	   3194	   3471	   3747	   4023	   4298	   4580	   4862	   5142	   5423	   5705	   6024	   6347	   6630	   6913	   7193	   7472	   7755	   8039	   8318	   8597	   8871	   9146	   9418	   9678	      0	      0	      0	      0	      0	      0	      0	
   60	      0	   1282	   1549	   1818	   2095	   2373	   2644	   2918	   3194	   3471	   3747	   4023	   4298	   4580	   4862	   5142	   5424	   5705	   6024	   6348	   6630	   6914	   7194	   7472	   7756	   8040	   8318	   8598	   8871	   9146	   9419	   9679	      0	      0	      0	      0	      0	      0	      0	
   61	      0	   1282	   1549	   1818	   2095	   2374	   2645	   2918	   3194	   3471	   3747	   4023	   4299	   4580	   4862	   5143	   5424	   5706	   6025	   6348	   6631	   6915	   7195	   7472	   7756	   8041	   8319	   8599	   8872	   9147	   9420	   9680	      0	      0	      0	      0	      0	      0	      0	
   62	      0	   1282	   1549	   1818	   2095	   2374	   2645	   2918	   3193	   3471	   3748	   4023	   4299	   4580	   4863	   5144	   5425	   5706	   6025	   6348	   6631	   6915	   7195	   7473	   7757	   8041	   8319	   8600	   8873	   9148	   9421	   9681	      0	      0	      0	      0	      0	      0	      0	
   63	      0	   1282	   1549	   1818	   2095	   2374	   2645	   2918	   3193	   3471	   3748	   4023	   4299	   4581	   4863	   5144	   5425	   5706	   6025	   6348	   6631	   6916	   7196	   7473	   7757	   8041	   8320	   8600	   8874	   9148	   9421	   9681	      0	      0	      0	      0	      0	      0	      0	
   64	      0	   1282	   1549	   1818	   2095	   2374	   2645	   2918	   3193	   3471	   3748	   4023	   4299	   4581	   4863	   5145	   5425	   5707	   6026	   6348	   6632	   6916	   7196	   7473	   7757	   8042	   8320	   8601	   8874	   9149	   9422	   9682	      0	      0	      0	      0	      0	      0	      0	
   65	      0	   1282	   1549	   1818	   2095	   2374	   2646	   2918	   3193	   3471	   3748	   4023	   4299	   4581	   4864	   5145	   5425	   5707	   6026	   6348	   6632	   6917	   7197	   7474	   7757	   8042	   8321	   8601	   8875	   9150	   9423	   9683	      0	      0	      0	      0	      0	      0	      0	
   66	      0	   1282	   1549	   1818	   2095	   2374	   2645	   2918	   3193	   3471	   3748	   4023	   4299	   4581	   4864	   5145	   5426	   5707	   6026	   6349	   6632	   6917	   7197	   7474	   7758	   8042	   8321	   8602	   8876	   9151	   9423	   9683	      0	      0	      0	      0	      0	      0	      0	
   67	      0	   1282	   1549	   1818	   2095	   2374	   2645	   2917	   3192	   3471	   3748	   4023	   4300	   4581	   4864	   5146	   5426	   5708	   6027	   6349	   6632	   6918	   7197	   7475	   7758	   8043	   8321	   8602	   8877	   9152	   9424	   9684	      0	      0	      0	      0	      0	      0	      0	
   68	      0	   1282	   1549	   1818	   2095	   2374	   2645	   2917	   3192	   3471	   3748	   4023	   4300	   4581	   4864	   5146	   5426	   5708	   6027	   6349	   6633	   6918	   7198	   7475	   7758	   8043	   8322	   8603	   8878	   9153	   9424	   9684	      0	      0	      0	      0	      0	      0	      0	
